len,state,sum
1,[0],0
2,"[2, 2]",4
2,"[2, 4]",6
2,"[4, 4]",8
3,"[2, 2, 4]",8
2,"[2, 8]",10
3,"[2, 4, 4]",10
2,"[4, 8]",12
3,"[2, 2, 8]",12
3,"[4, 4, 4]",12
3,"[2, 4, 8]",14
3,"[4, 4, 8]",16
4,"[2, 2, 4, 8]",16
3,"[2, 8, 8]",18
4,"[2, 4, 4, 8]",18
3,"[2, 2, 16]",20
3,"[4, 8, 8]",20
4,"[2, 2, 8, 8]",20
4,"[4, 4, 4, 8]",20
3,"[2, 4, 16]",22
4,"[2, 4, 8, 8]",22
3,"[4, 4, 16]",24
4,"[2, 2, 4, 16]",24
4,"[4, 4, 8, 8]",24
3,"[2, 8, 16]",26
4,"[2, 4, 4, 16]",26
3,"[4, 8, 16]",28
4,"[2, 2, 8, 16]",28
4,"[4, 4, 4, 16]",28
4,"[2, 4, 8, 16]",30
4,"[4, 4, 8, 16]",32
5,"[2, 2, 4, 8, 16]",32
4,"[2, 8, 8, 16]",34
5,"[2, 4, 4, 8, 16]",34
4,"[2, 2, 16, 16]",36
4,"[4, 8, 8, 16]",36
5,"[2, 2, 8, 8, 16]",36
5,"[4, 4, 4, 8, 16]",36
3,"[2, 4, 32]",38
4,"[2, 4, 16, 16]",38
5,"[2, 4, 8, 8, 16]",38
3,"[4, 4, 32]",40
4,"[2, 2, 4, 32]",40
4,"[4, 4, 16, 16]",40
5,"[2, 2, 4, 16, 16]",40
5,"[4, 4, 8, 8, 16]",40
3,"[2, 8, 32]",42
4,"[2, 4, 4, 32]",42
4,"[2, 8, 16, 16]",42
5,"[2, 4, 4, 16, 16]",42
3,"[4, 8, 32]",44
4,"[2, 2, 8, 32]",44
4,"[4, 4, 4, 32]",44
4,"[4, 8, 16, 16]",44
4,"[2, 4, 8, 32]",46
4,"[4, 4, 8, 32]",48
5,"[2, 2, 4, 8, 32]",48
4,"[2, 8, 8, 32]",50
5,"[2, 4, 4, 8, 32]",50
4,"[2, 2, 16, 32]",52
4,"[4, 8, 8, 32]",52
5,"[2, 2, 8, 8, 32]",52
5,"[4, 4, 4, 8, 32]",52
4,"[2, 4, 16, 32]",54
5,"[2, 4, 8, 8, 32]",54
4,"[4, 4, 16, 32]",56
5,"[2, 2, 4, 16, 32]",56
5,"[4, 4, 8, 8, 32]",56
4,"[2, 8, 16, 32]",58
5,"[2, 4, 4, 16, 32]",58
4,"[4, 8, 16, 32]",60
5,"[2, 2, 8, 16, 32]",60
5,"[4, 4, 4, 16, 32]",60
5,"[2, 4, 8, 16, 32]",62
5,"[4, 4, 8, 16, 32]",64
6,"[2, 2, 4, 8, 16, 32]",64
5,"[2, 8, 8, 16, 32]",66
6,"[2, 4, 4, 8, 16, 32]",66
5,"[2, 2, 16, 16, 32]",68
5,"[4, 8, 8, 16, 32]",68
6,"[2, 2, 8, 8, 16, 32]",68
6,"[4, 4, 4, 8, 16, 32]",68
4,"[2, 4, 32, 32]",70
5,"[2, 4, 16, 16, 32]",70
6,"[2, 4, 8, 8, 16, 32]",70
4,"[2, 2, 4, 64]",72
4,"[4, 4, 32, 32]",72
5,"[2, 2, 4, 32, 32]",72
5,"[4, 4, 16, 16, 32]",72
6,"[2, 2, 4, 16, 16, 32]",72
6,"[4, 4, 8, 8, 16, 32]",72
3,"[2, 8, 64]",74
4,"[2, 4, 4, 64]",74
4,"[2, 8, 32, 32]",74
5,"[2, 4, 4, 32, 32]",74
5,"[2, 8, 16, 16, 32]",74
6,"[2, 4, 4, 16, 16, 32]",74
3,"[4, 8, 64]",76
4,"[2, 2, 8, 64]",76
4,"[4, 4, 4, 64]",76
4,"[4, 8, 32, 32]",76
5,"[2, 2, 8, 32, 32]",76
5,"[4, 4, 4, 32, 32]",76
5,"[4, 8, 16, 16, 32]",76
4,"[2, 4, 8, 64]",78
5,"[2, 4, 8, 32, 32]",78
4,"[4, 4, 8, 64]",80
5,"[2, 2, 4, 8, 64]",80
5,"[4, 4, 8, 32, 32]",80
4,"[2, 8, 8, 64]",82
5,"[2, 4, 4, 8, 64]",82
4,"[2, 2, 16, 64]",84
4,"[4, 8, 8, 64]",84
5,"[2, 2, 8, 8, 64]",84
5,"[4, 4, 4, 8, 64]",84
4,"[2, 4, 16, 64]",86
5,"[2, 4, 8, 8, 64]",86
4,"[4, 4, 16, 64]",88
5,"[2, 2, 4, 16, 64]",88
5,"[4, 4, 8, 8, 64]",88
4,"[2, 8, 16, 64]",90
5,"[2, 4, 4, 16, 64]",90
4,"[4, 8, 16, 64]",92
5,"[2, 2, 8, 16, 64]",92
5,"[4, 4, 4, 16, 64]",92
5,"[2, 4, 8, 16, 64]",94
5,"[4, 4, 8, 16, 64]",96
6,"[2, 2, 4, 8, 16, 64]",96
5,"[2, 8, 8, 16, 64]",98
6,"[2, 4, 4, 8, 16, 64]",98
5,"[2, 2, 16, 16, 64]",100
5,"[4, 8, 8, 16, 64]",100
6,"[2, 2, 8, 8, 16, 64]",100
6,"[4, 4, 4, 8, 16, 64]",100
4,"[2, 4, 32, 64]",102
5,"[2, 4, 16, 16, 64]",102
6,"[2, 4, 8, 8, 16, 64]",102
4,"[4, 4, 32, 64]",104
5,"[2, 2, 4, 32, 64]",104
5,"[4, 4, 16, 16, 64]",104
6,"[2, 2, 4, 16, 16, 64]",104
6,"[4, 4, 8, 8, 16, 64]",104
4,"[2, 8, 32, 64]",106
5,"[2, 4, 4, 32, 64]",106
5,"[2, 8, 16, 16, 64]",106
6,"[2, 4, 4, 16, 16, 64]",106
4,"[4, 8, 32, 64]",108
5,"[2, 2, 8, 32, 64]",108
5,"[4, 4, 4, 32, 64]",108
5,"[4, 8, 16, 16, 64]",108
5,"[2, 4, 8, 32, 64]",110
5,"[4, 4, 8, 32, 64]",112
6,"[2, 2, 4, 8, 32, 64]",112
5,"[2, 8, 8, 32, 64]",114
6,"[2, 4, 4, 8, 32, 64]",114
5,"[2, 2, 16, 32, 64]",116
5,"[4, 8, 8, 32, 64]",116
6,"[2, 2, 8, 8, 32, 64]",116
